"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"48810",1991-05-01,"1991 May","Average",113736,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","Units",11,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","Median",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","Average",120000,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","Units",7,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","1st 20%",82000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","2nd 40%",114000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","3rd 60%",121000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","4th 80%",142000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","Median",115000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","Average",123773,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","Units",11,"Scss","Unabsorbed Prices"
"48810",1991-08-01,"1991 August","1st 20%",110000,"Scss","Unabsorbed Prices"
"48810",1991-08-01,"1991 August","2nd 40%",115000,"Scss","Unabsorbed Prices"
"48810",1991-08-01,"1991 August","3rd 60%",122000,"Scss","Unabsorbed Prices"
"48810",1991-08-01,"1991 August","4th 80%",142000,"Scss","Unabsorbed Prices"
"48810",1991-08-01,"1991 August","Median",120000,"Scss","Unabsorbed Prices"
"48810",1991-08-01,"1991 August","Average",122083,"Scss","Unabsorbed Prices"
"48810",1991-08-01,"1991 August","Units",22,"Scss","Unabsorbed Prices"
"48810",1991-09-01,"1991 September","1st 20%",91000,"Scss","Unabsorbed Prices"
"48810",1991-09-01,"1991 September","2nd 40%",110000,"Scss","Unabsorbed Prices"
"48810",1991-09-01,"1991 September","3rd 60%",126000,"Scss","Unabsorbed Prices"
"48810",1991-09-01,"1991 September","4th 80%",139000,"Scss","Unabsorbed Prices"
"48810",1991-09-01,"1991 September","Median",117500,"Scss","Unabsorbed Prices"
"48810",1991-09-01,"1991 September","Average",117475,"Scss","Unabsorbed Prices"
"48810",1991-09-01,"1991 September","Units",20,"Scss","Unabsorbed Prices"
"48810",1991-10-01,"1991 October","1st 20%",80000,"Scss","Unabsorbed Prices"
"48810",1991-10-01,"1991 October","2nd 40%",114000,"Scss","Unabsorbed Prices"
"48810",1991-10-01,"1991 October","3rd 60%",138000,"Scss","Unabsorbed Prices"
"48810",1991-10-01,"1991 October","4th 80%",149000,"Scss","Unabsorbed Prices"
"48810",1991-10-01,"1991 October","Median",127500,"Scss","Unabsorbed Prices"
"48810",1991-10-01,"1991 October","Average",121650,"Scss","Unabsorbed Prices"
"48810",1991-10-01,"1991 October","Units",22,"Scss","Unabsorbed Prices"
"48810",1991-11-01,"1991 November","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1991-11-01,"1991 November","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1991-11-01,"1991 November","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1991-11-01,"1991 November","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1991-11-01,"1991 November","Median",NA,"Scss","Unabsorbed Prices"
"48810",1991-11-01,"1991 November","Average",NA,"Scss","Unabsorbed Prices"
"48810",1991-11-01,"1991 November","Units",0,"Scss","Unabsorbed Prices"
"48810",1991-12-01,"1991 December","1st 20%",95000,"Scss","Unabsorbed Prices"
"48810",1991-12-01,"1991 December","2nd 40%",120000,"Scss","Unabsorbed Prices"
"48810",1991-12-01,"1991 December","3rd 60%",135000,"Scss","Unabsorbed Prices"
"48810",1991-12-01,"1991 December","4th 80%",165000,"Scss","Unabsorbed Prices"
"48810",1991-12-01,"1991 December","Median",130000,"Scss","Unabsorbed Prices"
"48810",1991-12-01,"1991 December","Average",128393,"Scss","Unabsorbed Prices"
"48810",1991-12-01,"1991 December","Units",24,"Scss","Unabsorbed Prices"
"48810",1992-01-01,"1992 January","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1992-01-01,"1992 January","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1992-01-01,"1992 January","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1992-01-01,"1992 January","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1992-01-01,"1992 January","Median",NA,"Scss","Unabsorbed Prices"
"48810",1992-01-01,"1992 January","Average",114857,"Scss","Unabsorbed Prices"
"48810",1992-01-01,"1992 January","Units",8,"Scss","Unabsorbed Prices"
"48810",1992-02-01,"1992 February","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1992-02-01,"1992 February","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1992-02-01,"1992 February","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1992-02-01,"1992 February","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1992-02-01,"1992 February","Median",NA,"Scss","Unabsorbed Prices"
"48810",1992-02-01,"1992 February","Average",NA,"Scss","Unabsorbed Prices"
"48810",1992-02-01,"1992 February","Units",7,"Scss","Unabsorbed Prices"
"48810",1992-03-01,"1992 March","1st 20%",85000,"Scss","Unabsorbed Prices"
"48810",1992-03-01,"1992 March","2nd 40%",110000,"Scss","Unabsorbed Prices"
"48810",1992-03-01,"1992 March","3rd 60%",117000,"Scss","Unabsorbed Prices"
"48810",1992-03-01,"1992 March","4th 80%",138000,"Scss","Unabsorbed Prices"
"48810",1992-03-01,"1992 March","Median",115000,"Scss","Unabsorbed Prices"
"48810",1992-03-01,"1992 March","Average",116500,"Scss","Unabsorbed Prices"
"48810",1992-03-01,"1992 March","Units",21,"Scss","Unabsorbed Prices"
"48810",1992-04-01,"1992 April","1st 20%",1e+05,"Scss","Unabsorbed Prices"
"48810",1992-04-01,"1992 April","2nd 40%",125000,"Scss","Unabsorbed Prices"
"48810",1992-04-01,"1992 April","3rd 60%",137000,"Scss","Unabsorbed Prices"
"48810",1992-04-01,"1992 April","4th 80%",151000,"Scss","Unabsorbed Prices"
"48810",1992-04-01,"1992 April","Median",132500,"Scss","Unabsorbed Prices"
"48810",1992-04-01,"1992 April","Average",131611,"Scss","Unabsorbed Prices"
"48810",1992-04-01,"1992 April","Units",18,"Scss","Unabsorbed Prices"
"48810",1992-05-01,"1992 May","1st 20%",95000,"Scss","Unabsorbed Prices"
"48810",1992-05-01,"1992 May","2nd 40%",120000,"Scss","Unabsorbed Prices"
"48810",1992-05-01,"1992 May","3rd 60%",135000,"Scss","Unabsorbed Prices"
"48810",1992-05-01,"1992 May","4th 80%",175000,"Scss","Unabsorbed Prices"
"48810",1992-05-01,"1992 May","Median",130000,"Scss","Unabsorbed Prices"
"48810",1992-05-01,"1992 May","Average",133571,"Scss","Unabsorbed Prices"
"48810",1992-05-01,"1992 May","Units",14,"Scss","Unabsorbed Prices"
"48810",1992-06-01,"1992 June","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1992-06-01,"1992 June","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1992-06-01,"1992 June","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1992-06-01,"1992 June","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1992-06-01,"1992 June","Median",NA,"Scss","Unabsorbed Prices"
"48810",1992-06-01,"1992 June","Average",134375,"Scss","Unabsorbed Prices"
"48810",1992-06-01,"1992 June","Units",8,"Scss","Unabsorbed Prices"
"48810",1992-07-01,"1992 July","1st 20%",125000,"Scss","Unabsorbed Prices"
"48810",1992-07-01,"1992 July","2nd 40%",133000,"Scss","Unabsorbed Prices"
"48810",1992-07-01,"1992 July","3rd 60%",140000,"Scss","Unabsorbed Prices"
"48810",1992-07-01,"1992 July","4th 80%",158000,"Scss","Unabsorbed Prices"
"48810",1992-07-01,"1992 July","Median",135000,"Scss","Unabsorbed Prices"
"48810",1992-07-01,"1992 July","Average",136286,"Scss","Unabsorbed Prices"
"48810",1992-07-01,"1992 July","Units",25,"Scss","Unabsorbed Prices"
"48810",1992-08-01,"1992 August","1st 20%",120000,"Scss","Unabsorbed Prices"
"48810",1992-08-01,"1992 August","2nd 40%",125000,"Scss","Unabsorbed Prices"
"48810",1992-08-01,"1992 August","3rd 60%",136000,"Scss","Unabsorbed Prices"
"48810",1992-08-01,"1992 August","4th 80%",148000,"Scss","Unabsorbed Prices"
"48810",1992-08-01,"1992 August","Median",130000,"Scss","Unabsorbed Prices"
"48810",1992-08-01,"1992 August","Average",134490,"Scss","Unabsorbed Prices"
"48810",1992-08-01,"1992 August","Units",28,"Scss","Unabsorbed Prices"
"48810",1992-09-01,"1992 September","1st 20%",95000,"Scss","Unabsorbed Prices"
"48810",1992-09-01,"1992 September","2nd 40%",115000,"Scss","Unabsorbed Prices"
"48810",1992-09-01,"1992 September","3rd 60%",125000,"Scss","Unabsorbed Prices"
"48810",1992-09-01,"1992 September","4th 80%",130000,"Scss","Unabsorbed Prices"
