"Charlottetown — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
2016 September,**,**,**,**,**,**,0,
2016 October,**,**,**,**,**,**,1,
2016 November,**,**,**,**,**,**,3,
2016 December,**,**,**,**,**,**,3,
2017 January,**,**,**,**,**,"463,567",6,
2017 February,"256,000","296,000","448,000","514,000","370,000","393,812",17,
2017 March,"250,000","289,000","378,000","465,000","365,000","365,235",26,
2017 April,"258,000","349,000","394,000","507,000","380,000","403,323",13,
2017 May,"222,000","273,000","382,000","446,000","332,500","338,250",22,
2017 June,"163,000","214,000","301,000","394,000","260,000","276,085",27,
2017 July,**,**,**,**,**,"296,225",8,
2017 August,**,**,**,**,**,"338,950",4,
2017 September,**,**,**,**,**,"369,056",9,
2017 October,**,**,**,**,**,**,3,
2017 November,**,**,**,**,**,"348,688",8,
2017 December,**,**,**,**,**,"464,000",5,
2018 January,**,**,**,**,**,"450,429",7,
2018 February,"380,000","442,000","458,000","510,000","450,000","456,167",12,
2018 March,"316,000","387,000","446,000","486,000","425,000","423,300",20,
2018 April,"346,000","386,000","437,000","490,000","407,500","436,243",22,
2018 May,"315,000","365,000","425,000","490,000","380,000","420,321",14,
2018 June,"320,000","364,000","431,000","580,000","390,000","432,909",11,
2018 July,"314,000","364,000","428,000","556,000","385,000","426,273",11,
2018 August,**,**,**,**,**,"483,600",5,
2018 September,**,**,**,**,**,"480,867",9,
2018 October,"362,000","434,000","550,000","636,000","500,000","505,855",11,
2018 November,"344,000","430,000","552,000","660,000","500,000","496,052",21,
2018 December,"352,000","424,000","526,000","634,000","435,000","482,012",25,
2019 January,**,**,**,**,**,"540,200",7,
2019 February,**,**,**,**,**,"538,680",5,
2019 March,**,**,**,**,**,**,3,
2019 April,**,**,**,**,**,"516,700",4,
2019 May,**,**,**,**,**,**,3,
2019 June,**,**,**,**,**,**,3,
2019 July,**,**,**,**,**,"376,200",6,
2019 August,**,**,**,**,**,"407,075",4,
2019 September,**,**,**,**,**,**,3,
2019 October,**,**,**,**,**,**,3,
2019 November,**,**,**,**,**,"429,450",4,
2019 December,**,**,**,**,**,"384,225",4,
2020 January,**,**,**,**,**,**,2,
2020 February,**,**,**,**,**,"439,360",5,
2020 March,**,**,**,**,**,"427,950",4,
2020 April,**,**,**,**,**,**,2,
2020 May,**,**,**,**,**,"409,580",5,
2020 June,**,**,**,**,**,**,1,
2020 July,**,**,**,**,**,**,1,
2020 August,**,**,**,**,**,**,1,
2020 September,**,**,**,**,**,**,0,
2020 October,**,**,**,**,**,**,0,
2020 November,**,**,**,**,**,**,0,
2020 December,**,**,**,**,**,**,0,
2021 January,**,**,**,**,**,**,0,
2021 February,**,**,**,**,**,**,1,
2021 March,**,**,**,**,**,**,2,
2021 April,**,**,**,**,**,"305,000",5,
2021 May,**,**,**,**,**,**,2,
2021 June,**,**,**,**,**,**,0,
2021 July,**,**,**,**,**,**,3,
2021 August,**,**,**,**,**,"466,429",7,
2021 September,**,**,**,**,**,**,1,
2021 October,**,**,**,**,**,**,1,
2021 November,**,**,**,**,**,**,3,
2021 December,**,**,**,**,**,**,1,
2022 January,**,**,**,**,**,**,1,
2022 February,**,**,**,**,**,**,0,
2022 March,**,**,**,**,**,**,0,
2022 April,**,**,**,**,**,**,0,
2022 May,**,**,**,**,**,**,0,
2022 June,**,**,**,**,**,**,0,
2022 July,**,**,**,**,**,**,0,
2022 August,**,**,**,**,**,**,0,
2022 September,**,**,**,**,**,**,0,
2022 October,**,**,**,**,**,**,0,
2022 November,**,**,**,**,**,**,0,
2022 December,**,**,**,**,**,**,0,
2023 January,**,**,**,**,**,**,0,
2023 February,**,**,**,**,**,**,0,
2023 March,**,**,**,**,**,**,0,
2023 April,**,**,**,**,**,**,0,
2023 May,**,**,**,**,**,**,0,
2023 June,**,**,**,**,**,**,1,
2023 July,**,**,**,**,**,**,1,
2023 August,**,**,**,**,**,**,0,
2023 September,**,**,**,**,**,**,0,
2023 October,**,**,**,**,**,**,1,
2023 November,**,**,**,**,**,**,0,
2023 December,**,**,**,**,**,**,0,
2024 January,**,**,**,**,**,**,0,
2024 February,**,**,**,**,**,**,0,
2024 March,**,**,**,**,**,**,0,

Source,CMHC Market Absorption Survey
