"Victoria — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
2005 August,**,**,**,**,**,"358,633",6,
2005 September,**,**,**,**,**,"358,633",6,
2005 October,**,**,**,**,**,"381,833",9,
2005 November,**,**,**,**,**,"375,825",8,
2005 December,**,**,**,**,**,"379,040",10,
2006 January,**,**,**,**,**,"395,664",11,
2006 February,"336,000","404,000","460,000","475,000","455,000","408,623",13,
2006 March,"350,000","440,000","460,000","485,000","450,000","438,429",14,
2006 April,"350,000","436,000","463,000","584,000","450,000","487,756",16,
2006 May,"350,000","430,000","469,000","617,000","455,000","491,073",15,
2006 June,"350,000","416,000","475,000","488,000","452,500","476,313",16,
2006 July,"350,000","445,000","480,000","720,000","475,000","515,095",19,
2006 August,"364,000","479,000","568,000","703,000","565,000","547,565",20,
2006 September,"360,000","472,000","566,000","686,000","495,000","533,914",21,
2006 October,"370,000","481,000","565,000","652,000","500,000","533,783",23,
2006 November,"350,000","460,000","500,000","570,000","485,000","487,537",19,
2006 December,"380,000","457,000","513,000","633,000","485,000","498,862",21,
2007 January,"425,000","500,000","540,000","632,000","510,000","508,467",27,
2007 February,"425,000","500,000","540,000","618,000","520,000","508,273",30,
2007 March,"405,000","500,000","540,000","569,000","510,000","497,564",25,
2007 April,"385,000","456,000","540,000","650,000","510,000","525,330",27,
2007 May,"386,000","524,000","602,000","796,000","540,000","606,283",23,
2007 June,"350,000","540,000","602,000","984,000","552,500","627,272",18,
2007 July,"350,000","542,000","606,000","988,000","550,000","624,824",17,
2007 August,"340,000","560,000","597,000","1,035,000","575,000","656,896",23,
2007 September,"350,000","550,000","580,000","1,000,000","567,500","646,392",24,
2007 October,"390,000","569,000","610,000","1,035,000","580,000","677,465",23,
2007 November,"380,000","490,000","580,000","630,000","567,500","598,983",24,
2007 December,"395,000","575,000","580,000","610,000","575,000","592,212",34,
2008 January,"350,000","450,000","585,000","630,000","575,000","570,717",24,
2008 February,"350,000","570,000","610,000","865,000","592,500","678,083",24,
2008 March,"364,000","572,000","606,000","770,000","600,000","656,837",30,
2008 April,"420,000","444,000","600,000","822,000","575,000","670,556",25,
2008 May,"362,000","444,000","600,000","1,133,000","592,500","707,015",20,
2008 June,"350,000","420,000","588,000","650,000","445,000","623,644",16,
2008 July,"350,000","420,000","450,000","650,000","430,000","628,171",14,
2008 August,"350,000","416,000","574,000","630,000","435,000","605,094",18,
2008 September,"410,000","500,000","600,000","630,000","545,000","612,207",29,
2008 October,"410,000","479,000","600,000","642,000","585,000","595,696",28,
2008 November,"420,000","530,000","600,000","700,000","600,000","602,379",39,
2008 December,"420,000","520,000","600,000","700,000","600,000","600,328",39,
2009 January,"410,000","508,000","600,000","690,000","585,000","592,193",40,
2009 February,"420,000","492,000","600,000","637,000","570,000","579,038",45,
2009 March,"418,000","490,000","600,000","642,000","530,000","577,788",43,
2009 April,"410,000","485,000","600,000","640,000","550,000","573,518",44,
2009 May,"394,000","467,000","600,000","624,000","550,000","560,795",40,
2009 June,"394,000","524,000","600,000","730,000","570,000","616,660",40,
2009 July,"416,000","546,000","598,000","750,000","580,000","642,314",37,
2009 August,"404,000","532,000","594,000","681,000","580,000","656,950",28,
2009 September,"370,000","540,000","600,000","805,000","580,000","676,783",24,
2009 October,"350,000","580,000","600,000","1,410,000","590,000","747,338",16,
2009 November,**,**,**,**,**,"865,311",9,
2009 December,**,**,**,**,**,**,8,
2010 January,**,**,**,**,**,"864,200",9,
2010 February,**,**,**,**,**,"942,730",10,
2010 March,**,**,**,**,**,"788,882",11,
2010 April,**,**,**,**,**,"891,563",8,
2010 May,**,**,**,**,**,"788,382",11,
2010 June,**,**,**,**,**,"796,564",11,
2010 July,**,**,**,**,**,"838,044",9,
2010 August,**,**,**,**,**,"666,914",7,
2010 September,**,**,**,**,**,**,7,
2010 October,**,**,**,**,**,**,9,
2010 November,"450,000","502,000","575,000","650,000","550,000","594,200",20,
2010 December,"390,000","450,000","550,000","650,000","477,500","556,154",24,
2011 January,"385,000","450,000","590,000","884,000","470,000","586,557",23,
2011 February,"400,000","450,000","590,000","884,000","470,000","592,209",23,
2011 March,"400,000","450,000","590,000","884,000","470,000","592,209",23,
2011 April,**,**,**,**,**,"527,478",23,
2011 May,"400,000","450,000","550,000","788,000","475,000","586,591",22,
2011 June,"398,000","450,000","590,000","995,000","480,000","595,426",23,
2011 July,"400,000","450,000","650,000","900,000","515,000","597,617",24,
2011 August,"390,000","450,000","650,000","835,000","475,000","582,033",24,
2011 September,"356,000","450,000","570,000","821,000","460,000","562,535",26,
2011 October,"339,000","406,000","458,000","650,000","450,000","507,217",23,
2011 November,"340,000","400,000","470,000","800,000","450,000","535,221",24,
2011 December,"348,000","450,000","650,000","856,000","460,000","568,825",20,
2012 January,"386,000","454,000","650,000","870,000","590,000","589,377",22,
2012 February,"414,000","466,000","650,000","870,000","590,000","599,395",21,
2012 March,"428,000","462,000","650,000","710,000","590,000","572,194",18,
2012 April,"450,000","526,000","650,000","662,000","590,000","583,169",16,
2012 May,"450,000","480,000","590,000","650,000","540,000","554,153",17,
2012 June,"450,000","480,000","532,000","650,000","495,000","530,612",17,
2012 July,"362,000","450,000","480,000","614,000","465,000","473,545",22,
2012 August,"362,000","450,000","480,000","614,000","465,000","473,545",22,
2012 September,"320,000","450,000","480,000","590,000","470,000","465,221",19,
2012 October,"320,000","406,000","478,000","590,000","442,500","449,082",22,
2012 November,"360,000","470,000","490,000","590,000","480,000","477,905",19,
2012 December,"297,000","406,000","478,000","554,000","435,000","439,847",17,
2013 January,"349,000","433,000","484,000","634,000","475,000","471,011",18,
2013 February,**,**,**,**,**,"582,400",14,
2013 March,**,**,**,**,**,**,7,
2013 April,**,**,**,**,**,"634,589",9,
2013 May,**,**,**,**,**,"654,200",11,
2013 June,**,**,**,**,**,"606,267",9,
2013 July,**,**,**,**,**,"641,291",11,
2013 August,**,**,**,**,**,"641,291",11,
2013 September,**,**,**,**,**,"692,538",13,
2013 October,**,**,**,**,**,"723,385",13,
2013 November,**,**,**,**,**,"654,073",15,
2013 December,"300,000","474,000","714,000","860,000","650,000","612,406",17,
2014 January,"300,000","430,000","650,000","830,000","540,000","581,767",18,
2014 February,"378,000","430,000","430,000","682,000","430,000","511,944",27,
2014 March,"377,000","428,000","430,000","650,000","430,000","485,135",26,
2014 April,"376,000","424,000","430,000","612,000","430,000","475,380",25,
2014 May,"376,000","402,000","430,000","486,000","425,000","421,755",20,
2014 June,"380,000","408,000","430,000","500,000","430,000","426,217",23,
2014 July,"380,000","408,000","430,000","500,000","430,000","426,217",23,
2014 August,"300,000","380,000","422,000","500,000","390,000","413,657",21,
2014 September,"268,000","347,000","386,000","430,000","380,000","381,255",20,
2014 October,"292,000","380,000","420,000","530,000","380,000","397,513",23,
2014 November,"284,000","364,000","414,000","470,000","380,000","386,268",22,
2014 December,"292,000","370,000","420,000","462,000","380,000","385,126",23,
2015 January,"284,000","380,000","420,000","502,000","405,000","416,682",22,
2015 February,"291,000","380,000","420,000","500,000","420,000","415,864",25,
2015 March,"266,000","332,000","408,000","610,000","380,000","421,395",20,
2015 April,**,**,**,**,**,"380,936",14,
2015 May,**,**,**,**,**,"411,225",16,
2015 June,"300,000","336,000","384,000","482,000","360,000","405,250",18,
2015 July,"300,000","332,000","388,000","452,000","350,000","392,947",17,
2015 August,**,**,**,**,**,"392,267",12,
2015 September,**,**,**,**,**,"419,692",12,
2015 October,**,**,**,**,**,"474,064",14,
2015 November,"356,000","392,000","518,000","699,000","500,000","536,036",25,
2015 December,"349,000","393,000","552,000","700,000","500,000","548,309",23,
2016 January,"346,000","434,000","620,000","700,000","517,500","568,365",20,
2016 February,"350,000","515,000","590,000","695,000","550,000","545,337",19,
2016 March,"359,000","518,000","562,000","632,000","552,500","515,238",16,
2016 April,**,**,**,**,**,"452,057",7,
2016 May,**,**,**,**,**,**,4,
2016 June,**,**,**,**,**,**,1,
2016 July,**,**,**,**,**,**,1,
2016 August,**,**,**,**,**,**,0,
2016 September,**,**,**,**,**,**,3,
2016 October,**,**,**,**,**,**,4,
