"Saint John — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
2015 August,**,**,**,**,**,**,8,
2015 September,**,**,**,**,**,**,6,
2015 October,**,**,**,**,**,**,7,
2015 November,**,**,**,**,**,"277,900",5,
2015 December,**,**,**,**,**,**,7,
2016 January,**,**,**,**,**,**,7,
2016 February,**,**,**,**,**,**,8,
2016 March,**,**,**,**,**,**,8,
2016 April,**,**,**,**,**,**,8,
2016 May,**,**,**,**,**,**,8,
2016 June,**,**,**,**,**,**,7,
2016 July,**,**,**,**,**,**,6,
2016 August,**,**,**,**,**,**,6,
2016 September,**,**,**,**,**,"312,071",7,
2016 October,**,**,**,**,**,**,7,
2016 November,**,**,**,**,**,**,7,
2016 December,**,**,**,**,**,**,8,
2017 January,**,**,**,**,**,"271,929",7,
2017 February,**,**,**,**,**,"271,929",7,
2017 March,**,**,**,**,**,"271,929",7,
2017 April,**,**,**,**,**,"280,600",7,
2017 May,**,**,**,**,**,"302,014",7,
2017 June,**,**,**,**,**,"344,340",5,
2017 July,**,**,**,**,**,"344,340",5,
2017 August,**,**,**,**,**,**,5,
2017 September,**,**,**,**,**,"345,100",6,
2017 October,**,**,**,**,**,**,6,
2017 November,**,**,**,**,**,"377,267",6,
2017 December,**,**,**,**,**,"377,267",6,
2018 January,**,**,**,**,**,"403,386",7,
2018 February,**,**,**,**,**,"418,711",9,
2018 March,"256,000","300,000","462,000","618,000","367,500","405,240",10,
2018 April,**,**,**,**,**,"419,167",9,
2018 May,"256,000","320,000","462,000","618,000","377,500","409,250",10,
2018 June,"272,000","390,000","474,000","640,000","435,000","441,936",11,
2018 July,"324,000","350,000","369,000","516,000","360,000","394,547",15,
2018 August,**,**,**,**,**,"408,193",14,
2018 September,**,**,**,**,**,"398,264",14,
2018 October,**,**,**,**,**,"409,764",14,
2018 November,**,**,**,**,**,"621,064",14,
2018 December,**,**,**,**,**,"362,571",14,
2019 January,**,**,**,**,**,"363,693",15,
2019 February,**,**,**,**,**,"382,008",13,
2019 March,**,**,**,**,**,**,8,
2019 April,**,**,**,**,**,"384,187",9,
2019 May,**,**,**,**,**,**,7,
2019 June,**,**,**,**,**,**,6,
2019 July,**,**,**,**,**,"446,271",7,
2019 August,**,**,**,**,**,"472,820",5,
2019 September,**,**,**,**,**,**,8,
2019 October,**,**,**,**,**,**,9,
2019 November,**,**,**,**,**,"392,180",10,
2019 December,**,**,**,**,**,"409,144",9,
2020 January,**,**,**,**,**,**,6,
2020 February,**,**,**,**,**,"375,700",7,
2020 March,**,**,**,**,**,"415,925",4,
2020 April,**,**,**,**,**,**,5,
2020 May,**,**,**,**,**,"388,657",7,
2020 June,**,**,**,**,**,**,6,
2020 July,**,**,**,**,**,**,7,
2020 August,**,**,**,**,**,**,5,
2020 September,**,**,**,**,**,**,2,
2020 October,**,**,**,**,**,**,1,
2020 November,**,**,**,**,**,**,1,
2020 December,**,**,**,**,**,**,1,
2021 January,**,**,**,**,**,**,1,
2021 February,**,**,**,**,**,**,2,
2021 March,**,**,**,**,**,**,2,
2021 April,**,**,**,**,**,**,2,
2021 May,**,**,**,**,**,**,2,
2021 June,**,**,**,**,**,**,3,
2021 July,**,**,**,**,**,**,4,
2021 August,**,**,**,**,**,**,4,
2021 September,**,**,**,**,**,**,5,
2021 October,**,**,**,**,**,**,3,
2021 November,**,**,**,**,**,**,2,
2021 December,**,**,**,**,**,**,3,
2022 January,**,**,**,**,**,**,3,
2022 February,**,**,**,**,**,**,2,
2022 March,**,**,**,**,**,**,3,
2022 April,**,**,**,**,**,"287,325",4,
2022 May,**,**,**,**,**,**,5,
2022 June,**,**,**,**,**,**,0,
2022 July,**,**,**,**,**,**,1,
2022 August,**,**,**,**,**,**,1,
2022 September,**,**,**,**,**,**,1,
2022 October,**,**,**,**,**,**,1,
2022 November,**,**,**,**,**,**,1,
2022 December,**,**,**,**,**,**,1,
2023 January,**,**,**,**,**,**,1,
2023 February,**,**,**,**,**,**,2,
2023 March,**,**,**,**,**,**,2,
2023 April,**,**,**,**,**,**,1,
2023 May,**,**,**,**,**,**,1,
2023 June,**,**,**,**,**,**,1,
2023 July,**,**,**,**,**,**,0,
2023 August,**,**,**,**,**,**,0,
2023 September,**,**,**,**,**,**,1,
2023 October,**,**,**,**,**,**,1,
2023 November,**,**,**,**,**,**,1,
2023 December,**,**,**,**,**,**,1,
2024 January,**,**,**,**,**,**,1,
2024 February,**,**,**,**,**,**,1,
2024 March,**,**,**,**,**,**,1,

Source,CMHC Market Absorption Survey
