year,cma_code,Age of Primary Household Maintainer - 15 - 24,Age of Primary Household Maintainer - 25 - 34,Age of Primary Household Maintainer - 35 - 44,Age of Primary Household Maintainer - 45 - 54,Age of Primary Household Maintainer - 55 - 64,Age of Primary Household Maintainer - Total 65+,Age of Primary Household Maintainer - Total,Mobility of Primary Household Maintainer - 15 - 24,Mobility of Primary Household Maintainer - 25 - 34,Mobility of Primary Household Maintainer - 35 - 44,Mobility of Primary Household Maintainer - 45 - 54,Mobility of Primary Household Maintainer - 55 - 64,Mobility of Primary Household Maintainer - Total 65+,Mobility of Primary Household Maintainer - Total,Household Type - Couple-With-Children,Household Type - Couple-Without-Children,Household Type - Total Lone- Parent Households,Household Type - Multiple- Family,Household Type - Total One- Person Households,Household Type - Other Non-Family,Household Type - Total,Household Size - One-Person Household,Household Size - Two-Person Household,Household Size - Three-Person Household,Household Size - Four-Person Household,Household Size - Five-Or-More-Person Household,Household Size - Total,Immigrant Households - Non-Immigrant,Immigrant Households - Non-Permanent Resident,Immigrant Households - Immigrant,Immigrant Households - Recent Immigrant,Immigrant Households - Total,Households with Seniors - Household Has at Least One Senior (65 or Older),Households with Seniors - Other Household Type,Households with Seniors - Total,Households with Children Under 18 - Household Has at Least One Child Less Than 18 Years Old,Households with Children Under 18 - Other Household Type,Households with Children Under 18 - Total,Activity Limitations - Household Has at Least One Person With Activity Limitations,Activity Limitations - Other Household Type,Activity Limitations - Total,Aboriginal Households - Aboriginal Households,Aboriginal Households - Non-Aboriginal Households,Aboriginal Households - Total,Shelter Costs - Less Than $500 Per Month,Shelter Costs - $500 to $999 Per Month,"Shelter Costs - $1,000 to $1,499 Per Month","Shelter Costs - $1,500 to $1,999 Per Month","Shelter Costs - $2,000 And Over Per Month","Shelter Costs - Total Non-Farm, Non-Band Households",Mortgages - With a Mortgage,Mortgages - Without a Mortgage,Mortgages - Total Private Households With Mortgage Status Known,"Household Income - Less Than $20,000","Household Income - $20,000 to $39,999","Household Income - $40,000 to $59,999","Household Income - $60,000 to $79,999","Household Income - $80,000 to $99,999","Household Income - $100,000 And Over",Household Income - Total,Condominiums - Part of a Condominium,Condominiums - Not Part of a Condominium,Condominiums - Total,Housing Suitability - Suitable,Housing Suitability - Not Suitable (Crowded),Housing Suitability - Total,Value of Owner-occupied Dwellings ($) - Single-Detached,Value of Owner-occupied Dwellings ($) - Semi-Detached,Value of Owner-occupied Dwellings ($) - Row,Value of Owner-occupied Dwellings ($) - Duplex,Value of Owner-occupied Dwellings ($) - Low-Rise Apt.,Value of Owner-occupied Dwellings ($) - High-Rise Apt.,Value of Owner-occupied Dwellings ($) - Other,Value of Owner-occupied Dwellings ($) - Total,Period of Construction and Condition of Dwelling - Needs Only Regular Maintenance,Period of Construction and Condition of Dwelling - Needs Minor Repairs,Period of Construction and Condition of Dwelling - Needs Major Repairs,Period of Construction and Condition of Dwelling - Total
2006,1060/3/Montréal,"58,950","243,760","323,305","334,710","254,440","310,575","1,525,745","54,600","197,665","164,075","109,795","61,310","57,360","644,810","438,940","355,405","169,795","15,175","481,420","65,010","1,525,745","481,420","492,915","240,570","209,135","101,700","1,525,745","1,150,475","16,865","358,405","60,130","1,525,745","348,070","1,177,670","1,525,745","438,940","1,086,800","1,525,745","350,770","1,174,975","1,525,745","11,635","1,514,110","1,525,745","373,715","740,535","275,870","89,220","45,450","1,524,795","504,370","309,035","813,405","273,730","359,135","294,260","211,855","143,345","243,420","1,525,745","108,510","705,800","814,305","1,423,635","102,110","1,525,745","242,258","233,889","236,342","261,933","246,302","283,656","164,184","244,417","971,920","435,880","117,945","1,525,745"
2006,1160/3/St.%20Catharines%20-%20Niagara,"4,325","18,080","29,710","33,010","28,125","43,225","156,465","3,980","14,260","14,110","9,670","6,800","7,050","55,875","47,200","43,630","17,410","2,120","41,840","4,265","156,465","41,845","55,075","24,455","22,710","12,385","156,465","118,650",915,"36,910","2,155","156,465","46,925","109,540","156,465","45,020","111,455","156,465","61,465","95,000","156,465","3,815","152,655","156,465","37,590","64,485","34,325","13,620","5,655","155,675","62,040","53,935","115,975","22,080","34,910","30,945","24,175","17,235","27,125","156,465","6,340","110,395","116,730","149,470","6,995","156,465","219,492","161,126","198,164","190,414","172,664","165,294","199,186","212,767","106,730","39,335","10,405","156,465"
2006,1250/3/Oshawa,"2,455","17,225","29,545","28,690","18,865","22,230","119,015","2,240","14,085","14,730","9,300","4,850","4,675","49,885","46,895","28,750","13,825","2,525","23,875","3,145","119,015","23,875","36,825","21,530","23,910","12,870","119,015","92,155",230,"26,630",995,"119,015","25,855","93,155","119,015","46,015","73,000","119,015","42,525","76,495","119,015","2,610","116,405","119,015","16,205","36,985","28,145","25,055","12,430","118,810","63,535","29,790","93,325","11,105","17,200","19,730","18,980","16,145","35,865","119,015","4,895","88,630","93,530","113,765","5,250","119,015","288,067","192,506","199,521","233,017","194,616","208,818","154,043","270,045","83,660","28,970","6,385","119,015"
2006,1265/3/Ottawa,"13,510","51,865","74,620","76,590","55,385","61,355","333,320","12,805","43,770","40,110","26,095","13,010","10,090","145,890","107,410","81,885","34,235","4,345","90,005","15,435","333,320","90,005","108,800","53,760","52,615","28,145","333,320","247,280","2,765","83,275","8,405","333,320","70,195","263,130","333,320","103,315","230,005","333,320","109,365","223,955","333,320","7,675","325,645","333,320","49,225","126,265","80,715","50,025","26,475","332,700","133,125","88,565","221,690","37,995","51,050","52,350","49,680","40,085","102,160","333,320","35,355","186,925","222,280","314,415","18,900","333,320","330,589","253,454","219,001","307,028","252,006","220,612","147,885","294,536","222,865","89,720","20,740","333,320"
2006,1400/3/Québec,"13,670","49,040","57,650","72,420","59,620","64,260","316,650","12,735","40,225","26,245","20,845","13,390","11,470","124,910","82,125","85,755","30,400","1,325","104,200","12,835","316,650","104,200","113,240","47,220","38,065","13,930","316,650","304,750",740,"11,170","2,590","316,650","69,325","247,325","316,650","79,290","237,360","316,650","62,075","254,575","316,650","2,715","313,935","316,650","105,000","149,775","48,330","9,390","3,870","316,375","110,740","74,620","185,360","51,655","73,845","63,475","49,270","31,900","46,510","316,650","20,390","165,205","185,595","307,710","8,940","316,650","167,490","136,687","149,981","146,692","138,606","202,631","100,461","159,861","215,050","81,980","19,620","316,650"
2006,1490/3/Regina,"4,850","13,050","15,485","17,960","12,275","16,695","80,320","4,680","10,655","7,435","5,040","2,800","3,570","34,180","22,590","19,975","9,435",845,"23,605","3,875","80,320","23,605","27,270","12,280","11,370","5,805","80,320","72,750",345,"7,225",675,"80,320","17,800","62,520","80,320","24,035","56,280","80,320","27,165","53,160","80,320","7,215","73,105","80,320","20,970","36,840","15,825","4,455","1,850","79,945","32,050","23,915","55,965","10,695","17,145","15,195","11,960","9,255","16,075","80,320","5,110","51,220","56,330","76,845","3,480","80,320","161,443","122,276","143,063","121,466","141,350","110,947","54,565","157,617","50,565","23,450","6,300","80,320"
2006,1600/3/Saint%20John,"1,880","6,845","9,720","11,240","8,520","10,920","49,125","1,720","5,345","4,410","3,030","1,910","1,625","18,040","14,795","13,320","6,115",665,"12,520","1,710","49,125","12,520","17,525","8,245","7,360","3,480","49,125","46,250",370,"2,505",240,"49,125","11,940","37,185","49,125","15,340","33,785","49,125","18,590","30,535","49,125",770,"48,360","49,125","17,895","20,815","7,930","1,730",715,"49,080","19,090","15,260","34,350","8,215","11,645","9,685","7,145","4,645","7,790","49,125",950,"33,440","34,390","47,360","1,765","49,125","146,991","124,732","119,423","116,705","156,391","100,237","50,916","139,978","28,685","16,060","4,380","49,125"
2006,1640/3/St.%20John's,"2,915","11,155","15,555","15,890","12,355","12,795","70,665","2,775","9,075","7,345","4,200","2,450","2,145","27,980","24,080","17,295","9,095","1,020","15,780","3,385","70,665","15,785","24,135","14,140","12,050","4,550","70,665","67,705",310,"2,650",295,"70,665","14,435","56,230","70,665","22,285","48,380","70,665","22,115","48,550","70,665","1,045","69,615","70,665","18,930","29,620","16,380","4,260","1,435","70,625","32,035","18,475","50,510","11,810","14,685","13,505","10,235","7,255","13,180","70,665","1,545","49,000","50,545","68,460","2,205","70,665","171,879","132,449","108,538","166,975","145,246","168,673","128,656","164,374","50,010","16,775","3,870","70,665"
2006,1700/3/Saskatoon,"7,500","16,585","17,965","20,910","13,370","18,940","95,275","7,180","13,480","8,955","6,705","3,545","4,710","44,575","26,970","24,035","10,310",935,"27,485","5,540","95,275","27,485","32,525","14,045","13,450","7,775","95,275","85,690",935,"8,650",995,"95,275","20,290","74,985","95,275","28,735","66,540","95,275","32,490","62,785","95,275","9,230","86,045","95,275","24,160","42,370","20,315","5,725","2,055","94,620","38,135","24,945","63,080","15,835","21,420","17,400","14,020","10,260","16,340","95,275","8,560","55,125","63,685","91,285","3,990","95,275","184,160","217,385","150,781","152,381","125,675","153,000","64,609","176,948","63,635","25,935","5,700","95,275"
2006,1800/3/Sherbrooke,"5,645","12,905","15,265","17,615","14,445","16,890","82,765","5,445","10,620","7,630","6,130","4,055","3,875","37,765","20,355","22,065","8,355",310,"28,130","3,540","82,765","28,130","29,380","11,290","9,480","4,480","82,765","77,940",390,"4,425","1,220","82,765","18,110","64,655","82,765","21,745","61,025","82,765","18,540","64,225","82,765",770,"81,995","82,765","32,785","36,625","10,230","1,915","1,050","82,605","26,810","17,320","44,130","17,385","21,780","16,705","11,390","6,580","8,915","82,765","2,310","41,960","44,270","79,990","2,775","82,765","173,340","134,604","134,233","145,934","153,744","207,892","89,079","166,686","57,765","20,375","4,625","82,765"
2006,2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,"2,830","8,885","12,895","14,015","11,485","14,975","65,080","2,645","6,740","5,630","4,260","2,220","2,020","23,515","19,620","18,130","7,350",620,"17,545","1,820","65,080","17,545","23,280","10,500","9,830","3,920","65,080","58,765",125,"6,185",195,"65,080","16,155","48,925","65,080","19,100","45,975","65,080","26,515","38,565","65,080","5,470","59,605","65,080","18,525","28,020","12,675","4,220","1,545","64,970","24,280","19,220","43,500","10,045","13,185","11,870","9,255","7,355","13,360","65,080",395,"43,145","43,540","63,040","2,035","65,080","169,617","120,552","113,903","141,418","158,584","277,046","113,684","164,892","41,095","18,875","5,110","65,080"
2006,2270/3/Toronto,"41,140","261,365","443,080","425,515","291,105","339,055","1,801,255","37,055","220,010","258,140","160,620","72,240","55,945","804,010","686,925","359,205","201,040","75,930","412,450","65,710","1,801,255","412,455","489,105","320,935","338,390","240,375","1,801,255","787,510","23,490","990,250","119,090","1,801,255","428,060","1,373,195","1,801,255","654,060","1,147,195","1,801,255","574,825","1,226,425","1,801,255","15,550","1,785,705","1,801,255","216,320","593,610","400,015","326,890","263,330","1,800,170","750,380","465,825","1,216,205","232,780","313,100","297,315","255,905","202,925","499,225","1,801,255","226,635","990,480","1,217,120","1,579,030","222,225","1,801,255","466,322","336,376","294,838","404,793","354,940","254,436","384,065","403,092","1,258,480","434,930","107,840","1,801,255"
2006,2320/3/Trois-Rivières,"3,145","8,205","11,155","14,425","12,225","14,720","63,875","2,980","6,815","5,170","4,535","3,015","2,915","25,425","15,375","17,210","6,530",280,"22,190","2,285","63,875","22,195","22,740","9,145","7,265","2,530","63,875","62,395",115,"1,355",360,"63,875","15,800","48,075","63,875","15,670","48,205","63,875","14,895","48,980","63,875",740,"63,135","63,875","31,155","25,370","5,745",825,605,"63,700","20,545","16,105","36,650","14,705","16,680","11,865","8,205","5,460","6,955","63,875","1,165","35,640","36,810","62,475","1,395","63,875","118,834","105,159","101,213","102,202","110,503","131,461","84,306","115,555","42,820","16,860","4,190","63,875"
2006,2410/3/Vancouver,"26,960","118,120","184,375","192,915","136,460","158,400","817,225","24,775","101,210","113,310","78,450","41,325","32,720","391,795","260,775","182,750","77,540","28,170","232,135","35,865","817,225","232,130","244,995","128,635","126,280","85,185","817,225","40,010",445,"15,495","43,310","817,225","193,320","623,905","817,225","246,680","570,550","817,225","279,460","537,770","817,225","21,805","795,420","817,225","178,850","272,415","152,590","108,020","103,805","815,685","315,330","215,375","530,705","131,545","160,980","147,235","117,105","83,510","176,865","817,225","164,600","367,120","531,725","734,570","82,660","817,225","631,331","492,965","347,697","588,742","317,550","401,340","180,726","520,330","570,490","191,140","55,600","817,225"
2006,2440/3/Victoria,"6,925","18,930","25,530","30,995","26,115","36,940","145,435","6,690","16,420","15,285","12,435","8,745","8,415","67,990","33,665","41,165","13,560","1,740","48,320","6,975","145,435","48,325","53,135","19,535","16,710","7,730","145,435","111,075","1,175","33,180","1,655","145,435","40,235","105,195","145,435","34,300","111,135","145,435","56,355","89,075","145,435","5,555","139,875","145,435","39,415","50,690","25,110","17,470","12,240","144,920","52,080","41,735","93,815","21,560","31,395","28,195","21,920","15,200","27,165","145,435","19,670","74,460","94,130","138,460","6,970","145,435","538,009","430,315","382,713","521,437","310,773","383,762","193,636","481,917","103,245","33,635","8,555","145,435"
2006,2640/3/Windsor,"4,335","19,190","28,120","26,715","20,530","26,945","125,840","4,075","14,620","13,205","7,985","4,680","4,095","48,655","42,340","29,655","14,260","2,015","33,830","3,735","125,840","33,830","39,425","20,235","20,255","12,085","125,840","90,465","1,325","34,050","3,790","125,840","30,165","95,675","125,840","41,060","84,780","125,840","44,780","81,060","125,840","3,075","122,765","125,840","26,875","49,360","30,440","13,180","5,705","125,555","55,225","37,995","93,220","18,430","23,350","21,510","18,185","14,035","30,325","125,840","5,980","87,515","93,500","118,785","7,055","125,840","210,037","165,586","166,322","142,426","146,302","157,057","200,762","203,133","91,800","26,625","7,415","125,840"
2006,2680/3/Winnipeg,"12,425","42,595","56,770","62,620","45,545","61,795","281,760","11,860","33,980","27,560","19,155","10,120","11,135","113,810","82,455","66,700","31,655","4,395","85,020","11,530","281,760","85,020","90,310","42,745","41,040","22,640","281,760","221,940","2,175","57,645","6,795","281,760","67,425","214,335","281,760","82,975","198,785","281,760","101,185","180,570","281,760","31,755","250,010","281,760","88,425","127,970","46,270","12,835","5,700","281,200","110,260","78,495","188,755","44,035","64,130","54,805","42,365","28,945","47,480","281,760","13,425","175,800","189,220","262,595","19,165","281,760","174,856","120,544","119,579","126,187","129,439","142,985","89,694","168,250","176,125","81,890","23,745","281,760"
2006,3300/3/Charlottetown,"1,070","3,140","4,710","5,225","4,175","5,070","23,400","1,040","2,530","2,385","1,585","1,100",940,"9,585","7,135","6,155","2,615",225,"6,170","1,100","23,400","6,165","8,225","3,755","3,360","1,890","23,400","22,010",80,"1,305",125,"23,400","5,450","17,945","23,400","6,940","16,455","23,400","8,005","15,395","23,400",365,"23,025","23,400","6,085","11,060","4,490","1,160",435,"23,230","9,085","6,370","15,455","3,685","5,755","4,555","3,735","2,485","3,180","23,400",95,"15,515","15,610","22,400","1,000","23,400","173,117","148,687","152,073","164,283","180,229",0,"77,662","166,826","15,020","6,905","1,475","23,400"
2011,0140/3/Calgary,"17,590","91,130","100,935","109,490","77,305","67,550","464,000","16,360","76,045","57,025","37,400","18,350","10,705","215,890","154,545","114,285","40,720","10,165","115,730","28,555","464,000","115,730","149,600","78,350","76,540","43,785","464,000","324,715","6,935","132,350","19,505","464,000","79,120","384,880","464,000","150,745","313,260","464,000","133,575","330,430","464,000","17,210","446,785","464,000","64,850","110,630","109,455","95,195","82,715","462,840","223,170","118,770","341,940","41,070","55,575","63,670","62,110","54,800","186,785","464,000","94,635","369,365","464,000","440,295","23,705","464,000","513,695","396,614","311,312","429,912","276,874","381,196","91,408","466,440","332,620","107,440","23,940","464,000"
2011,0340/3/Edmonton,"22,855","86,230","87,025","100,065","78,085","76,540","450,795","21,590","70,100","47,785","34,010","18,345","11,875","203,710","139,790","114,755","44,385","8,690","116,000","27,170","450,795","116,005","151,555","73,735","68,970","40,535","450,795","340,375","7,440","102,980","14,600","450,795","86,800","363,995","450,795","137,030","313,770","450,795","145,735","305,065","450,795","29,290","421,505","450,795","62,445","131,010","107,555","82,700","63,945","447,655","192,510","123,280","315,790","43,540","61,055","63,990","59,635","53,790","168,790","450,795","87,475","363,325","450,795","424,870","25,925","450,795","435,039","329,825","262,611","346,033","245,573","305,295","137,879","394,849","309,645","111,815","29,335","450,795"
2011,0370/3/Fredericton,"2,450","6,285","7,075","7,980","7,285","7,965","39,040","2,375","5,015","3,435","2,690","1,565","1,335","16,415","11,005","11,805","3,515",525,"9,920","2,270","39,040","9,925","14,990","6,550","5,280","2,295","39,040","35,885",275,"2,880",540,"39,040","8,735","30,300","39,040","10,940","28,095","39,040","13,910","25,125","39,040","1,655","37,385","39,040","9,950","15,075","8,935","3,190","1,395","38,545","16,150","11,710","27,860","4,810","7,645","6,865","5,665","4,375","9,680","39,040","1,405","37,630","39,040","37,635","1,405","39,040","214,283","203,890","194,442","225,903","196,355","269,732","80,752","199,671","24,870","10,840","3,325","39,040"
2011,0460/3/Guelph,"2,320","8,625","10,085","12,485","9,840","11,515","54,870","2,130","6,865","5,090","3,965","2,455","2,235","22,745","17,725","14,290","5,325","1,220","13,640","2,675","54,870","13,640","18,235","9,040","9,255","4,700","54,870","41,910",280,"12,685",730,"54,870","13,055","41,810","54,870","17,295","37,570","54,870","18,860","36,010","54,870","1,270","53,600","54,870","7,565","19,660","11,275","9,635","6,495","54,630","24,190","15,455","39,645","5,770","8,320","8,920","7,635","6,690","17,530","54,870","7,040","47,835","54,870","51,815","3,055","54,870","378,580","270,488","247,165","341,055","238,556","210,638","183,201","348,718","40,135","11,910","2,825","54,870"
2011,0580/3/Halifax,"9,785","26,570","29,640","37,640","30,090","31,420","165,150","9,300","22,225","14,095","11,195","6,830","5,120","68,760","43,650","45,215","16,575","2,200","46,790","10,720","165,150","46,785","60,590","27,060","21,460","9,255","165,150","148,550","2,025","14,580","2,480","165,150","35,135","130,010","165,150","43,690","121,465","165,150","58,885","106,265","165,150","5,680","159,475","165,150","26,240","66,345","41,230","21,085","10,180","165,075","65,895","37,725","103,625","21,940","29,780","28,085","23,720","19,050","42,575","165,150","9,635","155,515","165,150","158,255","6,895","165,150","286,316","193,316","226,857","320,971","257,910","268,025","76,099","268,607","108,530","44,355","12,260","165,150"
