cma_code,year,Age_of_Primary_Household_Maintainer__15___24,Age_of_Primary_Household_Maintainer__25___34,Age_of_Primary_Household_Maintainer__35___44,Age_of_Primary_Household_Maintainer__45___54,Age_of_Primary_Household_Maintainer__55___64,Age_of_Primary_Household_Maintainer__Total_65_,Age_of_Primary_Household_Maintainer__Total,Mobility_of_Primary_Household_Maintainer__15___24,Mobility_of_Primary_Household_Maintainer__25___34,Mobility_of_Primary_Household_Maintainer__35___44,Mobility_of_Primary_Household_Maintainer__45___54,Mobility_of_Primary_Household_Maintainer__55___64,Mobility_of_Primary_Household_Maintainer__Total_65_,Mobility_of_Primary_Household_Maintainer__Total,Household_Type__Couple_With_Children,Household_Type__Couple_Without_Children,Household_Type__Total_Lone__Parent_Households,Household_Type__Multiple__Family,Household_Type__Total_One__Person_Households,Household_Type__Other_Non_Family,Household_Type__Total,Household_Size__One_Person_Household,Household_Size__Two_Person_Household,Household_Size__Three_Person_Household,Household_Size__Four_Person_Household,Household_Size__Five_Or_More_Person_Household,Household_Size__Total,Immigrant_Households__Non_Immigrant,Immigrant_Households__Non_Permanent_Resident,Immigrant_Households__Immigrant,Immigrant_Households__Recent_Immigrant,Immigrant_Households__Total,Households_with_Seniors__Household_Has_at_Least_One_Senior__65_or_Older_,Households_with_Seniors__Other_Household_Type,Households_with_Seniors__Total,Households_with_Children_Under_18__Household_Has_at_Least_One_Child_Less_Than_18_Years_Old,Households_with_Children_Under_18__Other_Household_Type,Households_with_Children_Under_18__Total,Activity_Limitations__Household_Has_at_Least_One_Person_With_Activity_Limitations,Activity_Limitations__Other_Household_Type,Activity_Limitations__Total,Aboriginal_Households__Aboriginal_Households,Aboriginal_Households__Non_Aboriginal_Households,Aboriginal_Households__Total,Shelter_Costs__Less_Than__500_Per_Month,Shelter_Costs___500_to__999_Per_Month,Shelter_Costs___1_000_to__1_499_Per_Month,Shelter_Costs___1_500_to__1_999_Per_Month,Shelter_Costs___2_000_And_Over_Per_Month,Shelter_Costs__Total_Non_Farm__Non_Band_Households,Mortgages__With_a_Mortgage,Mortgages__Without_a_Mortgage,Mortgages__Total_Private_Households_With_Mortgage_Status_Known,Household_Income__Less_Than__20_000,Household_Income___20_000_to__39_999,Household_Income___40_000_to__59_999,Household_Income___60_000_to__79_999,Household_Income___80_000_to__99_999,Household_Income___100_000_And_Over,Household_Income__Total,Condominiums__Part_of_a_Condominium,Condominiums__Not_Part_of_a_Condominium,Condominiums__Total,Housing_Suitability__Suitable,Housing_Suitability__Not_Suitable__Crowded_,Housing_Suitability__Total,Value_of_Owner_occupied_Dwellings______Single_Detached,Value_of_Owner_occupied_Dwellings______Semi_Detached,Value_of_Owner_occupied_Dwellings______Row,Value_of_Owner_occupied_Dwellings______Duplex,Value_of_Owner_occupied_Dwellings______Low_Rise_Apt_,Value_of_Owner_occupied_Dwellings______High_Rise_Apt_,Value_of_Owner_occupied_Dwellings______Other,Value_of_Owner_occupied_Dwellings______Total,Period_of_Construction_and_Condition_of_Dwelling__Needs_Only_Regular_Maintenance,Period_of_Construction_and_Condition_of_Dwelling__Needs_Minor_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Needs_Major_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Total
0110/3/Abbotsford - Mission,2006,2160,8135,12405,12345,8765,12145,55955,1990,6865,7215,5110,3265,3420,27860,18800,14415,5455,2670,12750,1860,55955,12750,17960,8085,8750,8405,55955,54690,190,12115,1475,55955,14370,41580,55955,20360,35590,55955,22295,33655,55955,2660,53290,55955,13605,16495,11115,8540,5500,55260,26675,13835,40510,7955,11875,10915,9005,6210,9995,55955,9640,31475,41110,52115,3835,55955,419629,323824,245993,429165,153266,201810.0,165716,362875,40265,12695,2995,55955
0110/3/Abbotsford - Mission,2011,1960,8535,11460,13545,10720,13100,59315,1810,6610,5760,4870,3345,3090,25485,19080,15275,5790,3475,13565,2135,59315,13565,18680,8925,9175,8975,59315,43250,510,15560,1160,59315,15810,43510,59315,20970,38345,59315,24490,34830,59315,3260,56055,59315,12185,16540,10235,10105,9150,58210,28620,15145,43760,7070,10875,10035,8570,7270,15495,59315,14070,45250,59315,55055,4260,59315,478828,394995,302743,476936,193000,245393.0,254144,413134,42865,13270,3180,59315
0110/3/Abbotsford - Mission,2016,1790,8600,10995,13170,12525,15545,62635,1665,6440,5770,4465,3685,3800,25830,19390,16165,6210,4020,14505,2335,62635,14510,19955,9285,9235,9645,62635,44320,575,17735,1295,62635,19280,43345,62635,20740,41890,62635,37280,25355,62635,4420,58210,62635,10005,18375,11060,10110,11920,61475,29325,14420,43750,5495,9850,9685,9045,7780,20780,62635,13450,49185,62635,59070,3560,62635,618454,447621,324007,630983,193210,261456.0,177733,517976,45900,13730,3005,62635
0110/3/Abbotsford - Mission,2021,1710,8905,12490,12755,13350,18410,67610,1625,7080,7040,4990,4110,4270,29115,20625,16730,6550,4660,16115,2935,67610,16115,20855,9675,9985,10985,67610,45730,1460,20420,1875,67610,23315,44295,67610,21650,45965,67610,41005,26610,67610,4930,62680,67610,8210,15470,12245,9690,21125,66735,30850,16040,46890,2430,8685,9260,8730,8060,30450,67610,14980,52635,67610,62755,4860,67610,1079000,687000,576000,1046000,372000,407000.0,354000,882000,51150,13355,3110,67610
0120/3/Barrie,2006,1775,10125,16330,14475,9270,11890,63860,1715,8490,8910,5560,3140,3345,31160,24330,16345,6800,1305,12525,2560,63860,12520,20745,11200,12430,6970,63860,52565,245,11055,475,63860,13725,50135,63860,24355,39505,63860,22020,41840,63860,1820,62040,63860,9615,15740,19455,14080,4780,63670,37160,14180,51340,6340,10675,11375,10625,9225,15615,63860,2750,48770,51520,61225,2635,63860,278691,200086,179599,275582,201959,262752.0,113775,266167,46130,14785,2945,63860
0120/3/Barrie,2011,1855,9465,14170,17995,11245,13765,68495,1705,7360,6350,5780,3135,3140,27460,24335,17695,8290,1460,13920,2790,68495,13925,22495,12200,13145,6735,68495,57735,130,10635,590,68495,15740,52755,68495,24750,43750,68495,25465,43030,68495,2360,66135,68495,7675,17225,17650,16340,9295,68185,38115,15965,54080,5755,10825,12040,10390,8615,20865,68495,4435,64065,68495,65800,2695,68495,319649,220206,218172,283728,216117,261200.0,200034,304575,48325,17070,3100,68495
0120/3/Barrie,2016,1435,9925,13710,17145,14340,15970,72535,1370,7885,6800,5345,3690,3705,28795,24575,18565,9135,1965,15325,2970,72535,15325,23775,13145,12890,7400,72535,59565,220,12750,465,72535,18760,53770,72535,24120,48415,72535,41445,31090,72535,3490,69045,72535,4970,16675,17355,18700,14595,72290,39145,15830,54970,4560,10080,11045,10205,9160,27490,72535,5450,67085,72535,70110,2420,72535,441506,309324,276557,425555,280769,335514.0,797926,419554,49450,19565,3520,72535
0120/3/Barrie,2021,1540,10400,14485,15575,17170,19360,78540,1495,8385,7575,5375,4895,4805,32530,25430,20085,9760,2440,17335,3490,78540,17335,25395,13880,13515,8420,78540,61435,850,16255,1200,78540,23125,55415,78540,24465,54075,78540,47945,30595,78540,3650,74890,78540,4420,16715,12980,16880,27305,78305,39125,18285,57410,2510,8250,10025,10180,9825,37760,78540,6995,71545,78540,75490,3050,78540,790000,583000,543500,715000,464000,519000.0,540000,746000,55775,19120,3645,78540
0122/3/Belleville - Quinte West,2006,1540,4655,7325,7865,6180,9645,37210,1495,3720,3935,2705,1715,2170,15740,11025,11155,3885,395,9645,1105,37210,9650,13895,5880,5145,2640,37210,32940,75,4185,180,37210,10530,26675,37210,11130,26075,37210,15200,22010,37210,1440,35765,37210,9410,16190,8560,2215,735,37110,14585,10570,25155,5445,8795,7595,6110,3865,5400,37210,1125,24130,25250,35900,1310,37210,186308,161879,166497,193739,171960,187506.0,167125,184625,24240,10180,2785,37210
0122/3/Belleville - Quinte West,2011,1370,4950,5785,8495,7320,10525,38445,1275,3820,2705,2820,1870,1845,14340,10245,11660,4195,455,10530,1355,38445,10530,14550,5950,4925,2490,38445,34905,100,3440,115,38445,11435,27015,38445,10150,28300,38445,16935,21510,38445,2160,36290,38445,7695,15870,9540,3690,1440,38245,15280,10940,26220,4510,8245,7780,5955,4190,7770,38445,1710,36735,38445,36940,1505,38445,228516,222885,206432,204340,190207,265561.0,98601,224605,26155,9850,2440,38445
0122/3/Belleville - Quinte West,2016,1285,5435,6205,8420,9060,12600,43000,1175,4070,3120,2565,2190,2375,15500,11020,13165,4640,695,11820,1660,43000,11825,16440,6570,5315,2855,43000,39000,85,3920,115,43000,13750,29250,43000,11000,32010,43000,26790,16215,43000,2825,40170,43000,6060,15930,12040,5750,2695,42480,17545,11720,29265,3865,8285,8005,6980,5140,10735,43000,2100,40900,43000,41755,1250,43000,256229,235656,223064,210128,231555,240331.0,116793,252070,28260,11740,3005,43000
0122/3/Belleville - Quinte West,2021,925,5665,6980,7080,10325,15240,46215,855,4400,3650,2515,3100,3595,18115,11140,14305,5050,925,12815,1975,46215,12815,17815,6780,5370,3435,46215,41300,280,4630,280,46215,16870,29340,46215,11110,35100,46215,30475,15740,46215,3260,42955,46215,5950,15045,11540,7930,5365,45830,18300,13410,31715,2010,6880,7845,7245,5995,16240,46215,2225,43985,46215,44465,1750,46215,477600,422000,413200,424000,364000,385000.0,291000,468400,31210,12020,2985,46215
0125/3/Brantford,2006,1625,6475,9585,10720,8230,11210,47850,1520,5175,4590,3400,2190,2150,19025,15985,12730,5415,755,11635,1325,47850,11635,16225,7830,7715,4445,47850,39490,110,8255,330,47850,12410,35445,47850,15365,32485,47850,18620,29235,47850,1905,45950,47850,11820,18050,11400,4520,1670,47455,20410,14485,34895,6220,10080,9090,7575,5775,9115,47850,2200,33075,35275,45845,2005,47850,235385,158759,184579,171097,156252,144425.0,216820,225084,32830,11855,3165,47850
0125/3/Brantford,2011,1665,6760,9235,11675,10685,12705,52725,1550,5055,3995,3370,2420,2480,18870,16300,13970,6545,1145,13235,1530,52725,13230,18135,8780,8070,4505,52725,44625,245,7860,240,52725,14115,38610,52725,16605,36120,52725,21850,30875,52725,4840,47890,52725,10620,19400,12580,6100,3430,52130,22815,15795,38610,6270,10855,9370,8130,6145,11960,52725,3560,49165,52725,50200,2525,52725,277164,187397,191342,238782,179746,161963.0,223389,265150,36155,12245,4330,52725
0125/3/Brantford,2016,1260,6895,8695,10645,10980,14060,52530,1150,5160,3860,3210,2555,2225,18165,15555,14425,6475,1135,13525,1410,52530,13525,18205,8600,7595,4605,52530,43985,130,8415,245,52530,15700,36825,52530,15490,37035,52530,30955,21575,52530,3225,49305,52530,7065,18135,13940,7975,4855,51970,23745,13735,37480,4185,9655,8985,7520,6350,15840,52530,4035,48490,52530,50795,1740,52530,354626,230053,254672,295474,237052,177565.0,347557,337344,35305,13675,3545,52530
0125/3/Brantford,2021,1095,7110,9585,9950,11710,16555,56000,935,5530,4635,3085,2895,2880,19960,16410,15070,6830,1425,14375,1900,56000,14375,19205,8985,8055,5375,56000,45850,385,9765,590,56000,18760,37245,56000,16040,39960,56000,35145,20855,56000,3215,52790,56000,5835,15675,12100,10395,11510,55515,24900,14720,39615,2280,7545,8535,7730,6890,23030,56000,4620,51380,56000,53395,2605,56000,682000,507200,493200,576000,453000,392000.0,450000,649000,39760,12945,3300,56000
0140/3/Calgary,2006,20165,80195,97790,99395,58425,59640,415605,19375,70600,60505,38535,17475,13730,220205,137820,102420,37995,8260,103545,25560,415605,103545,136275,69250,67860,38680,415605,302455,3705,109440,16190,415605,70095,345515,415605,137045,278560,415605,121215,294390,415605,13960,401640,415605,71575,128510,116960,67335,30595,414975,205430,101880,307310,39920,67315,72190,62365,49305,124505,415605,55365,252560,307925,394660,20945,415605,419411,315410,254370,357244,237940,311565.0,90200,381866,297090,98365,20145,415605
0140/3/Calgary,2011,17590,91130,100935,109490,77305,67550,464000,16360,76045,57025,37400,18350,10705,215890,154545,114285,40720,10165,115730,28555,464000,115730,149600,78350,76540,43785,464000,324715,6935,132350,19505,464000,79120,384880,464000,150745,313260,464000,133575,330430,464000,17210,446785,464000,64850,110630,109455,95195,82715,462840,223170,118770,341940,41070,55575,63670,62110,54800,186785,464000,94635,369365,464000,440295,23705,464000,513695,396614,311312,429912,276874,381196.0,91408,466440,332620,107440,23940,464000
0140/3/Calgary,2016,14370,98930,114165,111530,95640,85060,519695,13680,80640,64305,39105,22610,14575,234915,175325,131120,45730,14220,122340,30960,519695,122335,168985,87730,86055,54590,519695,344230,7890,167570,25185,519695,102640,417055,519695,169580,350115,519695,248585,271105,519695,21405,498290,519695,46990,107840,106190,112475,145210,518710,255550,122805,378355,27750,52445,59705,61830,58820,259145,519695,113055,406635,519695,496040,23655,519695,586694,471026,344178,496059,300909,419138.0,139866,527238,384305,113725,21665,519695
0140/3/Calgary,2021,14635,91415,125620,113420,105335,113015,563440,13875,74070,66225,37565,24885,21155,237775,184615,139790,51805,14790,143215,29220,563440,143215,180700,90155,91625,57740,563440,359705,9150,194590,24995,563440,135005,428430,563440,179365,384075,563440,301215,262225,563440,26145,537290,563440,29265,126075,113065,109240,185130,562780,262200,134560,396760,19545,58840,67330,69755,65280,282700,563440,134255,429185,563440,536095,27345,563440,593000,467600,328800,508400,284800,392400.0,144800,528500,415620,123165,24655,563440
0180/3/Saguenay,2006,2520,7920,11420,15915,12395,14170,64330,2420,6330,5110,4140,2430,2455,22890,18670,18735,6395,365,18495,1670,64330,18495,23560,10535,8295,3450,64330,63725,45,555,155,64330,15445,48890,64330,17510,46820,64330,15105,49230,64330,1550,62780,64330,28680,26540,7485,985,505,64195,24465,16140,40605,12310,15290,12675,9440,6560,8060,64330,865,39855,40720,62935,1395,64330,118775,104405,106810,112678,108680,145607.0,63887,115583,44320,15700,4310,64330
0180/3/Saguenay,2011,2655,9805,9135,15735,15140,17025,69485,2415,7625,4005,4095,3010,2550,23705,17845,21715,6115,320,21550,1945,69485,21545,26585,10185,7925,3240,69485,68820,80,590,140,69485,18385,51100,69485,16520,52970,69485,14720,54770,69485,2450,67035,69485,25545,27630,12660,2665,805,69295,26840,17500,44345,11285,14670,13495,9855,7725,12455,69485,4155,65330,69485,68030,1455,69485,186467,164847,144977,171020,179281,114317.0,100019,181559,49720,15610,4160,69485
0180/3/Saguenay,2016,2650,9880,10915,12280,16415,20340,72480,2450,7150,4655,3175,2890,2930,23255,16685,23385,6285,340,23665,2120,72480,23665,28305,9495,7705,3300,72480,71280,305,900,140,72480,21860,50615,72480,15905,56575,72480,29585,42895,72480,4245,68230,72480,18960,29610,16305,5480,1950,72310,29880,16595,46475,8500,14330,13860,11025,8105,16655,72480,4645,67840,72480,71740,740,72480,223066,196569,195549,200935,197657,197559.0,127829,216218,51785,16780,3920,72480
0180/3/Saguenay,2021,2645,9815,11930,10295,15735,24380,74805,2515,7450,4965,3065,3320,3940,25255,15700,24245,5870,340,26470,2180,74805,26470,28960,8515,7415,3440,74805,73015,810,980,190,74805,26275,48530,74805,15895,58905,74805,33305,41495,74805,4060,70740,74805,16970,30580,17120,6660,3315,74645,30770,17010,47780,3950,13745,13555,11115,9110,23335,74805,7165,67635,74805,74120,685,74805,243000,219400,219000,218600,219000,212000.0,154000,236400,55115,16130,3560,74805
0210/3/Chilliwack,2006,1210,3985,6395,6295,5235,8520,31635,1150,3210,3760,2600,2065,2650,15435,9345,9610,3120,555,7975,1030,31635,7975,11705,4465,4330,3155,31635,25770,70,5795,175,31635,9210,22430,31635,10025,21605,31635,13395,18240,31635,2395,29245,31635,10145,8940,7160,3540,1270,31060,14510,9270,23780,4950,7545,6530,5065,3350,4190,31635,4895,19290,24185,30035,1595,31635,334803,251703,201316,317670,146415,165095.0,108626,294807,22540,7020,2070,31635
0210/3/Chilliwack,2011,1220,4720,6020,7720,6620,9940,36245,1145,3835,3380,3195,1980,2395,15925,10035,10950,3790,745,9455,1270,36245,9450,13335,5235,4850,3375,36245,30355,70,5820,265,36245,10880,25365,36245,11045,25200,36245,16155,20090,36245,3620,32620,36245,11180,8615,7345,5260,3060,35455,15995,11055,27050,5565,7460,6450,5645,4110,7005,36245,7730,28520,36245,34645,1600,36245,406318,304994,252935,340042,193111,172405.0,137340,356121,26635,7300,2305,36245
0210/3/Chilliwack,2016,1010,4845,5955,7740,8090,12065,39700,960,3745,3090,2915,2820,3405,16935,10605,12510,4040,905,10365,1280,39700,10360,15010,5400,4995,3925,39700,32955,125,6620,350,39700,13400,26300,39700,11210,28490,39700,24480,15220,39700,4240,35460,39700,10195,9995,7645,6300,4595,38730,17825,11215,29045,3965,7320,6780,5710,4900,11025,39700,7575,32125,39700,38380,1320,39700,488551,361020,275859,514818,178205,178267.0,141603,415588,28790,8610,2295,39700
0210/3/Chilliwack,2021,950,5460,7305,7425,8785,14440,44370,895,4490,4375,3145,3460,4285,20650,11710,13390,4420,1285,11780,1780,44370,11780,16270,6120,5515,4690,44370,36160,215,7995,475,44370,16125,28240,44370,12395,31980,44370,28405,15965,44370,4800,39575,44370,9290,9450,7285,6410,10915,43355,19395,13020,32415,1910,6715,6735,6240,5360,17415,44370,8795,35575,44370,42525,1845,44370,889000,642000,513500,932000,364000,350000.0,356400,752000,33490,8695,2180,44370
0280/3/Drummondville,2006,1610,5370,6325,7425,6160,6815,33705,1565,4305,3070,2655,1655,1610,14870,9015,9205,3495,135,10870,985,33705,10875,11895,4915,4190,1830,33705,32805,35,870,340,33705,7295,26410,33705,9325,24380,33705,7160,26545,33705,290,33420,33705,14690,14915,3225,485,305,33615,12115,7435,19550,6615,9495,7285,4930,2735,2640,33705,355,19275,19630,32740,965,33705,137300,108077,100288,112790,137374,,58937,132081,24015,7660,2030,33705
0280/3/Drummondville,2011,1630,6225,6185,8285,7780,8695,38790,1500,4530,2765,2800,2055,2010,15675,9480,10830,3900,160,13075,1340,38790,13075,13775,5295,4680,1965,38790,37765,55,975,180,38790,9270,29520,38790,10185,28605,38790,9235,29560,38790,390,38405,38790,14300,16550,6170,1145,305,38465,13875,8955,22830,7630,9765,7575,5645,3670,4505,38790,1685,37110,38790,37715,1080,38790,183090,138807,137222,162964,199362,371504.0,85868,177236,28665,7900,2230,38790
0280/3/Drummondville,2016,1760,5975,7390,7665,8825,10660,42270,1670,4390,3465,2330,2325,2075,16260,9910,12115,4135,240,14430,1440,42270,14430,15370,5390,4755,2315,42270,41055,45,1180,200,42270,11625,30645,42270,10435,31835,42270,18270,24005,42270,750,41520,42270,11970,18990,8075,2090,875,41995,15925,9120,25050,5545,9815,8695,6355,4445,7420,42270,2380,39895,42270,41525,750,42270,215078,168265,147125,192008,217874,348362.0,109791,207882,31135,9190,1945,42270
0280/3/Drummondville,2021,1730,6180,7920,7175,9040,13655,45700,1660,4690,3530,2495,2560,3035,17975,9890,13110,4260,210,16680,1545,45700,16680,16390,5240,4750,2640,45700,43585,455,1655,225,45700,14705,30985,45700,10590,35105,45700,21340,24355,45700,970,44730,45700,11240,20060,9585,3105,1435,45420,16660,9910,26570,2560,9765,9025,6650,5385,12310,45700,3095,42600,45700,44900,795,45700,272800,214800,183000,228400,280500,,181000,264000,33915,9805,1980,45700
0340/3/Edmonton,2006,24295,71225,85280,92730,60590,71150,405275,23205,61195,47180,33345,16780,15585,197290,126930,101105,41190,7375,107130,21545,405275,107130,134665,64275,62300,36895,405275,313720,3120,88435,9105,405275,80450,324820,405275,126360,278915,405275,134740,270530,405275,23985,381290,405275,85930,152265,101505,45970,17150,402815,169730,109210,278940,48240,74255,70005,60340,49265,103165,405275,44935,235700,280640,382495,22775,405275,288002,219326,168105,241809,171305,204069.0,101232,264986,274195,107740,23335,405275
0340/3/Edmonton,2011,22855,86230,87025,100065,78085,76540,450795,21590,70100,47785,34010,18345,11875,203710,139790,114755,44385,8690,116000,27170,450795,116005,151555,73735,68970,40535,450795,340375,7440,102980,14600,450795,86800,363995,450795,137030,313770,450795,145735,305065,450795,29290,421505,450795,62445,131010,107555,82700,63945,447655,192510,123280,315790,43540,61055,63990,59635,53790,168790,450795,87475,363325,450795,424870,25925,450795,435039,329825,262611,346033,245573,305295.0,137879,394849,309645,111815,29335,450795
0340/3/Edmonton,2016,19675,97235,100380,99730,92600,92520,502140,18495,77470,56135,35890,21825,14970,224790,157505,129380,49380,11960,123645,30275,502140,123650,168720,82530,77135,50115,502140,360950,8935,132260,22820,502140,106950,395195,502140,155470,346675,502140,259995,242145,502140,36550,465595,502140,38925,125210,108785,105300,120670,498890,225915,121345,347260,27880,56525,61775,62590,57600,235780,502140,99585,402550,502140,475230,26915,502140,485135,367684,280075,408339,256949,343506.0,166952,437455,352855,122140,27145,502140
0340/3/Edmonton,2021,18600,93100,116580,99955,101295,119090,548625,17820,73380,60340,34590,24475,21360,231970,167145,136200,56710,11950,146705,29915,548625,146705,179220,85520,82720,54455,548625,384145,8755,155720,21675,548625,138005,410620,548625,166620,382005,548625,315945,232675,548625,44560,504065,548625,27650,137285,113710,105335,161950,545925,243365,131880,375245,18215,62885,68410,71250,65775,262085,548625,112600,436025,548625,518515,30110,548625,484000,362800,264000,422400,245200,318000.0,167600,434000,389730,130615,28280,548625
0370/3/Fredericton,2006,2150,5780,7105,7155,5850,6865,34895,2035,4850,3475,2135,1065,1165,14730,10750,9970,3220,385,8530,2045,34895,8525,13035,6000,5135,2190,34895,31975,175,2745,365,34895,7515,27375,34895,10445,24450,34895,11920,22970,34895,1135,33765,34895,10885,14400,7040,1500,725,34550,14250,10700,24950,4775,8125,7030,5510,3700,5760,34895,415,24625,25035,33735,1160,34895,169710,172191,147448,170217,152347,237602.0,54363,158777,21820,10375,2705,34895
0370/3/Fredericton,2011,2450,6285,7075,7980,7285,7965,39040,2375,5015,3435,2690,1565,1335,16415,11005,11805,3515,525,9920,2270,39040,9925,14990,6550,5280,2295,39040,35885,275,2880,540,39040,8735,30300,39040,10940,28095,39040,13910,25125,39040,1655,37385,39040,9950,15075,8935,3190,1395,38545,16150,11710,27860,4810,7645,6865,5665,4375,9680,39040,1405,37630,39040,37635,1405,39040,214283,203890,194442,225903,196355,269732.0,80752,199671,24870,10840,3325,39040
0370/3/Fredericton,2016,2255,6690,7345,8290,7920,10265,42775,2170,5265,3355,2470,1620,1605,16490,11610,13090,4035,465,11465,2095,42775,11465,16490,6800,5570,2450,42775,38830,400,3545,720,42775,11250,31520,42775,11475,31295,42775,25425,17345,42775,2225,40550,42775,8525,15715,11025,4870,2065,42205,18485,11760,30245,4255,7495,7365,6385,5070,12205,42775,1805,40965,42775,41625,1145,42775,234790,209728,217923,244460,193383,345199.0,80682,217886,27220,12675,2880,42775
0370/3/Fredericton,2021,2575,6910,7830,7805,8680,12560,46360,2505,5560,3890,2565,2010,2280,18815,11795,13985,4375,520,13180,2505,46360,13180,17885,6925,5660,2710,46360,41600,640,4120,1140,46360,13735,32625,46360,11560,34795,46360,30210,16145,46360,2700,43655,46360,8165,14810,12890,6370,3510,45745,19120,13100,32225,2090,6825,7495,7055,5945,16950,46360,2010,44345,46360,44980,1380,46360,278800,259000,241000,281600,236800,360000.0,105400,259600,29775,13380,3205,46360
0460/3/Guelph,2006,2200,8520,10720,10665,7260,9405,48770,2140,7180,5905,3610,1890,1800,22530,16635,12500,4925,820,11825,2060,48770,11825,16275,7935,8190,4545,48770,36385,255,12130,1200,48770,10630,38140,48770,16205,32565,48770,16365,32410,48770,740,48030,48770,8315,17340,10970,8415,3570,48600,21625,12920,34545,5555,7755,8585,7855,6330,12700,48770,4510,30185,34695,46420,2345,48770,302696,214147,201921,291933,208827,172604.0,391382,282392,34770,11450,2550,48770
0460/3/Guelph,2011,2320,8625,10085,12485,9840,11515,54870,2130,6865,5090,3965,2455,2235,22745,17725,14290,5325,1220,13640,2675,54870,13640,18235,9040,9255,4700,54870,41910,280,12685,730,54870,13055,41810,54870,17295,37570,54870,18860,36010,54870,1270,53600,54870,7565,19660,11275,9635,6495,54630,24190,15455,39645,5770,8320,8920,7635,6690,17530,54870,7040,47835,54870,51815,3055,54870,378580,270488,247165,341055,238556,210638.0,183201,348718,40135,11910,2825,54870
0460/3/Guelph,2016,2470,8940,10695,12360,11315,13495,59280,2330,7330,5305,3825,2610,2315,23720,18735,15535,5860,1145,15165,2835,59280,15170,19785,9660,9500,5170,59280,44485,540,14260,1035,59280,15495,43785,59280,17450,41830,59280,32195,27085,59280,1245,58035,59280,4765,18405,13725,11380,10740,59020,25970,15390,41360,4455,7935,8830,7915,7140,23005,59280,8115,51165,59280,57060,2220,59280,508323,354167,327132,471877,287618,258139.0,184661,463729,42190,14125,2960,59280
0460/3/Guelph,2021,2265,9510,11630,11845,12755,16165,64175,2210,7720,5955,3720,2865,3045,25510,19640,16785,6200,1545,16435,3570,64175,16435,21335,10250,10250,5900,64175,46545,790,16840,1800,64175,18580,45600,64175,18110,46065,64175,38715,25465,64175,1490,62685,64175,3580,16735,12110,12185,19350,63965,27210,16730,43945,2375,6920,8120,8365,7710,30685,64175,10915,53260,64175,60890,3290,64175,867000,655000,586000,797000,516000,455600.0,600000,789000,47150,14015,3010,64175
0580/3/Halifax,2006,8550,25400,33135,34315,25450,28275,155125,8185,20950,16415,10560,5765,4625,66500,44405,41025,15895,1930,43030,8845,155125,43030,55145,25725,21730,9505,155125,141020,910,13195,1530,155125,31650,123475,155125,44270,110855,155125,54660,100465,155125,3110,152015,155125,33650,67440,36080,12340,5550,155050,62105,37095,99200,23825,33080,28590,23690,17020,28925,155125,6595,92645,99245,148575,6555,155125,224335,158504,189104,251898,207891,238303.0,59639,212937,100560,43960,10605,155125
0580/3/Halifax,2011,9785,26570,29640,37640,30090,31420,165150,9300,22225,14095,11195,6830,5120,68760,43650,45215,16575,2200,46790,10720,165150,46785,60590,27060,21460,9255,165150,148550,2025,14580,2480,165150,35135,130010,165150,43690,121465,165150,58885,106265,165150,5680,159475,165150,26240,66345,41230,21085,10180,165075,65895,37725,103625,21940,29780,28085,23720,19050,42575,165150,9635,155515,165150,158255,6895,165150,286316,193316,226857,320971,257910,268025.0,76099,268607,108530,44355,12260,165150
0580/3/Halifax,2016,9080,27935,28935,34535,33710,39260,173460,8800,23035,14135,9890,7395,6385,69640,43000,48795,17165,2305,51215,10975,173460,51215,64425,27235,21020,9565,173460,153180,3220,17060,2835,173460,43405,130055,173460,42940,130520,173460,102375,71085,173460,9035,164425,173460,20000,60370,47760,28755,16475,173365,66735,37455,104195,18130,28240,28410,24625,20750,53305,173460,10415,163045,173460,167475,5985,173460,326325,223800,271724,350848,302584,325736.0,96717,307526,110895,51095,11470,173460
0580/3/Halifax,2021,9190,33885,34235,34295,38945,50585,201140,8825,27995,17980,10740,9375,9450,84370,48460,57245,19395,2755,59555,13720,201140,59555,75240,30835,24210,11295,201140,171725,6580,22830,5980,201140,56250,144885,201140,48230,152910,201140,127990,73145,201140,11140,190000,201140,21315,54135,54425,40715,29995,200590,74705,42965,117675,10530,28140,31225,28765,25490,76995,201140,12645,188495,201140,192200,8935,201140,418000,302000,377600,468800,350000,412800.0,137200,396000,132275,55680,13185,201140
0610/3/Hamilton,2006,7315,34820,56615,59200,44570,63940,266460,6830,28600,28245,19320,10165,10545,103705,90395,66680,29420,4595,68055,7315,266460,68060,86255,43155,44035,24955,266460,182550,1905,82005,5905,266460,71265,195190,266460,84510,181950,266460,99520,166940,266460,5010,261450,266460,44285,109540,55405,36545,20080,265860,111010,79250,190260,34435,50650,46635,39565,30255,64915,266460,26235,164595,190825,251930,14530,266460,299092,205655,218495,248603,200509,196935.0,235425,278776,180075,68635,17745,266460
