cma_code,year,Age_of_Primary_Household_Maintainer__15___24,Age_of_Primary_Household_Maintainer__25___34,Age_of_Primary_Household_Maintainer__35___44,Age_of_Primary_Household_Maintainer__45___54,Age_of_Primary_Household_Maintainer__55___64,Age_of_Primary_Household_Maintainer__Total_65_,Age_of_Primary_Household_Maintainer__Total,Mobility_of_Primary_Household_Maintainer__15___24,Mobility_of_Primary_Household_Maintainer__25___34,Mobility_of_Primary_Household_Maintainer__35___44,Mobility_of_Primary_Household_Maintainer__45___54,Mobility_of_Primary_Household_Maintainer__55___64,Mobility_of_Primary_Household_Maintainer__Total_65_,Mobility_of_Primary_Household_Maintainer__Total,Household_Type__Couple_With_Children,Household_Type__Couple_Without_Children,Household_Type__Total_Lone__Parent_Households,Household_Type__Multiple__Family,Household_Type__Total_One__Person_Households,Household_Type__Other_Non_Family,Household_Type__Total,Household_Size__One_Person_Household,Household_Size__Two_Person_Household,Household_Size__Three_Person_Household,Household_Size__Four_Person_Household,Household_Size__Five_Or_More_Person_Household,Household_Size__Total,Immigrant_Households__Non_Immigrant,Immigrant_Households__Non_Permanent_Resident,Immigrant_Households__Immigrant,Immigrant_Households__Recent_Immigrant,Immigrant_Households__Total,Households_with_Seniors__Household_Has_at_Least_One_Senior__65_or_Older_,Households_with_Seniors__Other_Household_Type,Households_with_Seniors__Total,Households_with_Children_Under_18__Household_Has_at_Least_One_Child_Less_Than_18_Years_Old,Households_with_Children_Under_18__Other_Household_Type,Households_with_Children_Under_18__Total,Activity_Limitations__Household_Has_at_Least_One_Person_With_Activity_Limitations,Activity_Limitations__Other_Household_Type,Activity_Limitations__Total,Aboriginal_Households__Aboriginal_Households,Aboriginal_Households__Non_Aboriginal_Households,Aboriginal_Households__Total,Shelter_Costs__Less_Than__500_Per_Month,Shelter_Costs___500_to__999_Per_Month,Shelter_Costs___1_000_to__1_499_Per_Month,Shelter_Costs___1_500_to__1_999_Per_Month,Shelter_Costs___2_000_And_Over_Per_Month,Shelter_Costs__Total_Non_Farm__Non_Band_Households,Mortgages__With_a_Mortgage,Mortgages__Without_a_Mortgage,Mortgages__Total_Private_Households_With_Mortgage_Status_Known,Household_Income__Less_Than__20_000,Household_Income___20_000_to__39_999,Household_Income___40_000_to__59_999,Household_Income___60_000_to__79_999,Household_Income___80_000_to__99_999,Household_Income___100_000_And_Over,Household_Income__Total,Condominiums__Part_of_a_Condominium,Condominiums__Not_Part_of_a_Condominium,Condominiums__Total,Housing_Suitability__Suitable,Housing_Suitability__Not_Suitable__Crowded_,Housing_Suitability__Total,Value_of_Owner_occupied_Dwellings______Single_Detached,Value_of_Owner_occupied_Dwellings______Semi_Detached,Value_of_Owner_occupied_Dwellings______Row,Value_of_Owner_occupied_Dwellings______Duplex,Value_of_Owner_occupied_Dwellings______Low_Rise_Apt_,Value_of_Owner_occupied_Dwellings______High_Rise_Apt_,Value_of_Owner_occupied_Dwellings______Other,Value_of_Owner_occupied_Dwellings______Total,Period_of_Construction_and_Condition_of_Dwelling__Needs_Only_Regular_Maintenance,Period_of_Construction_and_Condition_of_Dwelling__Needs_Minor_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Needs_Major_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Total
1320/3/Peterborough,2011,1875,6025,6845,10220,9845,14040,48850,1720,4920,3165,2995,2320,2470,17585,12860,15295,4735,610,12950,2400,48850,12950,18835,7325,6520,3220,48850,43225,205,5420,130,48850,15255,33595,48850,12230,36620,48850,20985,27865,48850,2220,46625,48850,9550,18860,11280,5635,2865,48190,18870,16510,35385,5230,10130,9990,6680,5420,11400,48850,1890,46955,48850,47025,1820,48850,280367,233558,273918,215144,231932,255847.0,89135,275669,33615,11675,3555,48850
1320/3/Peterborough,2016,1950,6355,6655,8870,10620,16095,50535,1850,4955,3220,2655,2615,3125,18430,12420,15440,5435,810,13885,2545,50535,13885,19600,7395,6315,3345,50535,45000,215,5320,190,50535,17490,33045,50535,11930,38600,50535,31350,19180,50535,2895,47635,50535,6570,18305,12865,7875,4360,49975,20070,15160,35240,4965,9655,8740,7505,5710,13955,50535,2130,48405,50535,49225,1305,50535,342433,294876,298426,301252,227643,314778.0,135443,335224,33040,14195,3300,50535
1320/3/Peterborough,2021,1615,6570,7675,7710,10920,18880,53370,1520,4785,3370,2400,2940,3605,18620,12775,16085,5590,980,15215,2725,53370,15215,19955,7755,6535,3915,53370,47275,455,5640,325,53370,20780,32590,53370,12245,41125,53370,34430,18940,53370,3350,50020,53370,5800,17010,12100,8805,9015,52730,19865,16700,36565,2385,8420,8325,8080,6425,19735,53370,2365,51005,53370,51650,1720,53370,629000,466000,513500,542000,441000,510000.0,452000,614500,36360,13725,3290,53370
1400/3/Québec,2006,13670,49040,57650,72420,59620,64260,316650,12735,40225,26245,20845,13390,11470,124910,82125,85755,30400,1325,104200,12835,316650,104200,113240,47220,38065,13930,316650,304750,740,11170,2590,316650,69325,247325,316650,79290,237360,316650,62075,254575,316650,2715,313935,316650,105000,149775,48330,9390,3870,316375,110740,74620,185360,51655,73845,63475,49270,31900,46510,316650,20390,165205,185595,307710,8940,316650,167490,136687,149981,146692,138606,202631.0,100461,159861,215050,81980,19620,316650
1400/3/Québec,2011,15440,57065,53910,72330,68675,78465,345885,14580,45940,25375,20620,14340,14110,134970,83740,97550,29455,1220,119580,14350,345885,119575,124965,47180,39700,14465,345885,330535,1200,14160,3370,345885,83995,261885,345885,81235,264650,345885,73920,271965,345885,4290,341600,345885,88450,152150,73255,23070,8500,345420,124720,81310,206030,47490,70025,65660,51715,39310,71685,345885,41550,304335,345885,336110,9780,345885,266450,212082,221593,237552,214337,298190.0,156009,251928,243850,83115,18920,345885
1400/3/Québec,2016,14180,55590,60705,64765,73585,93070,361890,13480,43840,28030,18825,14910,15035,134120,85050,102775,31080,1470,127515,14000,361890,127520,130665,46490,41020,16195,361890,340070,2180,19640,4460,361890,100115,261780,361890,82550,279340,361890,144130,217760,361890,7445,354445,361890,65090,153965,84500,39860,17860,361270,136840,80575,217415,32995,65205,67090,54010,42450,100145,361890,52670,309215,361890,355145,6750,361890,320486,253453,255690,290835,242185,353081.0,194429,300064,257380,86725,17790,361890
1400/3/Québec,2021,14490,58790,67415,60845,74225,112185,387955,14075,48950,33060,20375,18585,22745,157785,85070,111260,31225,1270,145805,13325,387955,145805,138220,44770,41555,17600,387955,355550,7005,25400,4910,387955,120040,267915,387955,87305,300650,387955,171790,216165,387955,9690,378265,387955,60145,152085,92870,51845,30465,387415,143465,82210,225675,16085,63160,67760,56255,46560,138140,387955,60280,327675,387955,381060,6895,387955,353600,276800,283600,322000,260400,366000.0,215200,329600,281565,87870,18520,387955
1420/3/Red Deer,2006,3090,6670,6650,7365,3910,4965,32650,2980,5905,4280,3395,1455,1435,19445,9235,8645,3475,510,8170,2610,32650,8165,11640,5455,4715,2670,32650,29035,130,3480,475,32650,5435,27210,32650,10230,22420,32650,10385,22265,32650,1925,30725,32650,6620,11785,9740,3645,860,32650,14600,6940,21540,3565,5870,6040,5360,3895,7920,32650,2620,18925,21545,30940,1710,32650,271272,215199,169543,208058,171567,144036.0,46121,244254,22440,8400,1810,32650
1420/3/Red Deer,2011,2355,8190,6720,7815,5750,5520,36350,2180,6755,3865,3170,1620,1370,18960,10040,9545,3955,500,9500,2795,36350,9505,12980,6035,5080,2750,36350,31955,270,4120,775,36350,6015,30330,36350,11260,25085,36350,12240,24105,36350,2495,33850,36350,5135,10610,9015,7505,4080,36345,16415,8110,24530,3740,5535,6180,4540,4260,12095,36350,5225,31125,36350,35035,1315,36350,366308,270772,224625,262621,216100,368414.0,106444,328127,26295,7895,2155,36350
1420/3/Red Deer,2016,2035,7770,8050,7645,7480,7000,39980,1915,5985,4500,3145,2015,1670,19235,11000,10430,4275,730,10650,2895,39980,10655,14075,6315,5565,3375,39980,33765,370,5850,1440,39980,7750,32230,39980,12180,27800,39980,20930,19050,39980,2770,37215,39980,4025,10290,9920,8785,6955,39975,17270,8975,26250,2550,5350,5525,5240,4585,16730,39980,5730,34250,39980,38565,1415,39980,413793,312407,261888,323379,252607,217660.0,100705,370299,28660,9535,1790,39980
