"GeoUID","Date","DateString","Bedroom Type","Value","Survey","Series"
"59930",2022-10-01,"2022 October","3 Bedroom +",192,"Rms","Rental Universe"
"59930",2022-10-01,"2022 October","Total",3869,"Rms","Rental Universe"
"59930",2023-10-01,"2023 October","Studio",219,"Rms","Rental Universe"
"59930",2023-10-01,"2023 October","1 Bedroom",1937,"Rms","Rental Universe"
"59930",2023-10-01,"2023 October","2 Bedroom",1697,"Rms","Rental Universe"
"59930",2023-10-01,"2023 October","3 Bedroom +",215,"Rms","Rental Universe"
"59930",2023-10-01,"2023 October","Total",4068,"Rms","Rental Universe"
"59930",2024-10-01,"2024 October","Studio",210,"Rms","Rental Universe"
"59930",2024-10-01,"2024 October","1 Bedroom",2030,"Rms","Rental Universe"
"59930",2024-10-01,"2024 October","2 Bedroom",1780,"Rms","Rental Universe"
"59930",2024-10-01,"2024 October","3 Bedroom +",245,"Rms","Rental Universe"
"59930",2024-10-01,"2024 October","Total",4265,"Rms","Rental Universe"
"59930",2025-10-01,"2025 October","Studio",194,"Rms","Rental Universe"
"59930",2025-10-01,"2025 October","1 Bedroom",1988,"Rms","Rental Universe"
"59930",2025-10-01,"2025 October","2 Bedroom",1733,"Rms","Rental Universe"
"59930",2025-10-01,"2025 October","3 Bedroom +",251,"Rms","Rental Universe"
"59930",2025-10-01,"2025 October","Total",4166,"Rms","Rental Universe"
